title,price_gbp,price_inr,rating,in_stock,category,detail_url
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,True,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),26.8,2827.4,3,True,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,True,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,35.28,3722.04,3,True,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),11.84,1249.12,1,True,Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),59.48,6275.14,3,True,Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,27.26,2875.93,2,True,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,13.71,1446.41,3,True,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5,True,Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,True,Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4,True,Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,True,Mystery,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,True,Mystery,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),23.05,2431.78,5,True,Mystery,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,43.45,4583.98,3,True,Mystery,https://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,True,Mystery,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,True,Mystery,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,True,Mystery,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,True,Mystery,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,12.29,1296.59,5,True,Mystery,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.18,3,True,Mystery,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,True,Mystery,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),53.98,5694.89,1,True,Mystery,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,53.74,5669.57,1,True,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3,True,Historical Fiction,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,True,Historical Fiction,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,36.95,3898.23,1,True,Historical Fiction,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,30.25,3191.38,5,True,Historical Fiction,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,28.08,2962.44,4,True,Historical Fiction,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3,True,Historical Fiction,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",20.55,2168.02,2,True,Historical Fiction,https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,39.01,4115.55,4,True,Historical Fiction,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,17.28,1823.04,2,True,Historical Fiction,https://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),16.62,1753.41,3,True,Historical Fiction,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,37.34,3939.37,1,True,Historical Fiction,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),32.97,3478.34,4,True,Historical Fiction,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,28.32,2987.76,5,True,Historical Fiction,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,26.77,2824.24,1,True,Historical Fiction,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),21.07,2222.89,5,True,Historical Fiction,https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,35.66,3762.13,5,True,Historical Fiction,https://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,55.55,5860.52,2,True,Historical Fiction,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1,True,Historical Fiction,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,46.83,4940.56,2,True,Historical Fiction,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,20.79,2193.34,5,True,Historical Fiction,https://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,41.32,4359.26,5,True,Historical Fiction,https://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,34.56,3646.08,3,True,Historical Fiction,https://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,25.83,2725.06,3,True,Historical Fiction,https://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,27.7,2922.35,4,True,Historical Fiction,https://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,True,Historical Fiction,https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
